,CustomerID,First_Name,Last_Name,Phone_Number,Paying Customer,Do_Not_Contact,Street_Address,State,Zip_Code
0,1001,Frodo,Baggins,1235455421,Y,N,123 Shire Lane, Shire,
1,1003,Walter,White,7066950392,N,,298 Drugs Driveway,,
2,1005,Jon,Snow,8766783469,Y,N,123 Dragons Road,,
3,1008,Sherlock,Holmes,8766783469,N,N,98 Clue Drive,,
4,1010,Peter,Parker,1235455421,Y,N,25th Main Street, New York,
5,1012,Harry,Potter,7066950392,Y,,2394 Hogwarts Avenue,,
6,1013,Don,Draper,1235432345,Y,N,2039 Main Street,,
7,1014,Leslie,Knope,8766783469,Y,N,343 City Parkway,,
8,1015,Toby,Flenderson,3047622467,N,N,214 HR Avenue,,
9,1016,Ron,Weasley,1235455421,N,N,2395 Hogwarts Avenue,,
10,1017,Michael ,Scott,1236439775,Y,N,121 Paper Avenue, Pennsylvania,
11,1018,Clark,Kent,7066950392,Y,,3498 Super Lane,,
12,1020,Anakin,Skywalker,8766783469,Y,N,910 Tatooine Road, Tatooine,
